course,pl,unit_id,source_binary_verified,source_authority_inherited,boundary_status,extraction_status,model_status,pattern_decision_dependency,storyboard_readiness,qa_readiness,bariah_review_dependency,blocker,next_executable_action
"K5","PL06","K5-PL06-T03-B02","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","EXTRACTED","PACKAGED","NONE","PACKAGED","PACKAGED","NONE","none — delivered","none"
"K5","PL06","K5-PL06-T03-B05","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — not yet extracted","extract by heading anchor, same reader as batch 1"
"K5","PL06","K5-PL06-T04-B01","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","EXTRACTED","MODEL_READY","PENDING_BARIAH_PATTERN_DECISION","READY_FOR_ONE_TOUCH_REVIEW","T04_STATE_COVERAGE_QA_v1 108/108","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","BARIAH — visual review of the built storyboard","await Bariah's storyboard review"
"K5","PL06","K5-PL06-T07-B01","True","SRC-AUTH-01","CLEAN_VERIFIED_IN_FROZEN_MAP","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — not yet extracted","extract by heading anchor, same reader as batch 1"
"K5","PL01","PL01-CAND-01","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL01","PL01-CAND-02","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL01","PL01-CAND-03","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL01","PL01-CAND-04","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL02","PL02-CAND-01","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL02","PL02-CAND-02","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL02","PL02-CAND-03","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL03","PL03-CAND-01","True","SRC-AUTH-01","BOUNDARY_AMBER","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL03","PL03-CAND-02","True","SRC-AUTH-01","BOUNDARY_AMBER","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL03","PL03-CAND-03","True","SRC-AUTH-01","BOUNDARY_AMBER","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL03","PL03-CAND-04","True","SRC-AUTH-01","BOUNDARY_AMBER","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL03","PL03-CAND-05","True","SRC-AUTH-01","BOUNDARY_AMBER","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL03","PL03-CAND-06","True","SRC-AUTH-01","BOUNDARY_AMBER","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL03","PL03-CAND-07","True","SRC-AUTH-01","BOUNDARY_AMBER","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL03","PL03-CAND-08","True","SRC-AUTH-01","BOUNDARY_AMBER","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL04","PL04-CAND-01","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL04","PL04-CAND-02","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL05","PL05-CAND-01","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL05","PL05-CAND-02","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL07","PL07-CAND-01","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL07","PL07-CAND-02","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K5","PL08","PL08-CAND-01","True","SRC-AUTH-01","SOURCE_READY_UNMAPPED","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — no frozen unit boundary map for this Pakej Latihan","map unit boundaries for this Pakej Latihan the way PL06's fourteen were mapped, then extract"
"K3","PL01","K3-M01-PL01","False","SRC-AUTH-01","CLEAN_SELF_CONTAINED_FILE","CONNECTOR_TEXT_READ","MODEL_READY","PENDING_BARIAH_PATTERN_DECISION","WAITING_PATTERN_DECISIONS","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","BARIAH — assessment format conflict K3-ASSESS-01","resolve the LATIHAN-versus-4+1 format question"
"K3","PL02","K3-M01-PL02-CAND","False","SRC-AUTH-01","UNKNOWN_NOT_READ","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — PDF identified but not read","read the PDF through the connector and inventory it"
"K3","PL03","K3-M01-PL03","False","SRC-AUTH-01","CLEAN_SELF_CONTAINED_FILE","CONNECTOR_TEXT_READ","MODEL_READY","PENDING_BARIAH_PATTERN_DECISION","WAITING_PATTERN_DECISIONS","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","BARIAH — assessment format conflict K3-ASSESS-01","resolve the LATIHAN-versus-4+1 format question"
"K3","PL04","K3-M01-PL04-CAND","False","SRC-AUTH-01","UNKNOWN_NOT_READ","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — PDF identified but not read","read the PDF through the connector and inventory it"
"K3","PL05","K3-M01-PL05-CAND","False","SRC-AUTH-01","UNKNOWN_NOT_READ","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — PDF identified but not read","read the PDF through the connector and inventory it"
"K3","PL06","K3-M01-PL06-CAND","False","SRC-AUTH-01","UNKNOWN_NOT_READ","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — PDF identified but not read","read the PDF through the connector and inventory it"
"K3","PL07","K3-M01-PL07-CAND","False","SRC-AUTH-01","UNKNOWN_NOT_READ","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — PDF identified but not read","read the PDF through the connector and inventory it"
"K3","PL08","K3-M01-PL08-CAND","False","SRC-AUTH-01","UNKNOWN_NOT_READ","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — PDF identified but not read","read the PDF through the connector and inventory it"
"K3","PL09","K3-M01-PL09-CAND","False","SRC-AUTH-01","UNKNOWN_NOT_READ","SOURCE_READY","SOURCE_READY","PENDING_BARIAH_PATTERN_DECISION","SOURCE_READY","NOT_RUN","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","CAIR — PDF identified but not read","read the PDF through the connector and inventory it"
"K2","MONOLITH","K2-MONOLITH-UNMAPPED","False","SRC-AUTH-01","UNKNOWN_NOT_DECOMPOSED","SOURCE_BLOCKED","SOURCE_BLOCKED","NOT_REACHED","SOURCE_BLOCKED","NOT_RUN","NOT_REACHED","FIRDAUS — the 25 MB monolith is identified on Drive but not available as a local binary, and a whole-file text read is not viable here","place 2. PENGURUSAN PEMBINAAN LANDASAN.pdf (Drive 1BW-OibYv3sDyordi0YIQkb5vXeAdOtMn) on local disk; PyMuPDF is already available and gives the page count, heading tree, images and tables directly"
