course,pl,unit_or_candidate_id,record_type,source_located,binary_local,binary_readable,content_read,boundary_confirmed,extraction_status,model_status,authority_dependency,immediately_executable,ready_to_emit_pptx,blocker_owner,exact_blocker,next_executable_action
"K5","PL06","K5-PL06-T04-B01","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T05-B01","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T06-B01","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T07-B01","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL01","PL01-CAND-01","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL01","PL01-CAND-02","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL01","PL01-CAND-03","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL01","PL01-CAND-04","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL02","PL02-CAND-01","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL02","PL02-CAND-02","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL02","PL02-CAND-03","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL03","PL03-CAND-01","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL03","PL03-CAND-02","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL03","PL03-CAND-03","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL03","PL03-CAND-04","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL03","PL03-CAND-05","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL03","PL03-CAND-06","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL03","PL03-CAND-07","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL03","PL03-CAND-08","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL04","PL04-CAND-01","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL04","PL04-CAND-02","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL05","PL05-CAND-01","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL05","PL05-CAND-02","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL07","PL07-CAND-01","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL07","PL07-CAND-02","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K5","PL08","PL08-CAND-01","CANDIDATE_STRUCTURE","True","True","True","False","False","SOURCE_BINARY_READABLE","NOT_STARTED","unit boundary map for this Pakej Latihan","False","False","CAIR","no frozen unit boundary map for this Pakej Latihan; unit granularity undecided","map unit boundaries for this PL the way PL06's fourteen were mapped"
"K3","PL01","K3-M01-PL01","CONFIRMED_PRODUCTION_UNIT","True","False","False","True","True","SOURCE_CONTENT_READ","MODEL_READY","K3-COURSE-01 assessment treatment","False","False","BARIAH","K3-COURSE-01 assessment treatment undecided","await K3-COURSE-01"
"K3","PL02","K3-M01-PL02","CONFIRMED_PRODUCTION_UNIT","True","False","False","True","True","SOURCE_CONTENT_READ","MODEL_READY","K3-COURSE-01 assessment treatment","False","False","BARIAH","K3-COURSE-01 assessment treatment undecided","await K3-COURSE-01"
"K3","PL03","K3-M01-PL03","CONFIRMED_PRODUCTION_UNIT","True","False","False","True","True","SOURCE_CONTENT_READ","MODEL_READY","K3-COURSE-01 assessment treatment","False","False","BARIAH","K3-COURSE-01 assessment treatment undecided","await K3-COURSE-01"
"K3","PL04","K3-M02-PL04","CONFIRMED_PRODUCTION_UNIT","True","False","False","True","True","SOURCE_CONTENT_READ","MODEL_READY","K3-COURSE-01 assessment treatment","False","False","BARIAH","K3-COURSE-01 assessment treatment undecided","await K3-COURSE-01"
"K3","PL05","K3-M03-PL05","CONFIRMED_PRODUCTION_UNIT","True","False","False","True","True","SOURCE_CONTENT_READ","MODEL_READY","K3-COURSE-01 assessment treatment","False","False","BARIAH","K3-COURSE-01 assessment treatment undecided","await K3-COURSE-01"
"K3","PL06","K3-M04-PL06","CONFIRMED_PRODUCTION_UNIT","True","False","False","True","True","SOURCE_CONTENT_READ","MODEL_READY","K3-COURSE-01 assessment treatment","False","False","BARIAH","K3-COURSE-01 assessment treatment undecided","await K3-COURSE-01"
"K3","PL07","K3-M05-PL07","CONFIRMED_PRODUCTION_UNIT","True","False","False","True","True","SOURCE_CONTENT_READ","MODEL_READY","K3-COURSE-01 assessment treatment","False","False","BARIAH","K3-COURSE-01 assessment treatment undecided","await K3-COURSE-01"
"K3","PL08","K3-M05-PL08","CONFIRMED_PRODUCTION_UNIT","True","False","False","True","True","SOURCE_CONTENT_READ","MODEL_READY","K3-COURSE-01 assessment treatment","False","False","BARIAH","K3-COURSE-01 assessment treatment undecided","await K3-COURSE-01"
"K3","PL09","K3-M06-PL09","CONFIRMED_PRODUCTION_UNIT","True","False","False","True","True","SOURCE_CONTENT_READ","MODEL_READY","K3-COURSE-01 assessment treatment","False","False","BARIAH","K3-COURSE-01 assessment treatment undecided","await K3-COURSE-01"
"K2","PL01","K2-M01-PL01","CANDIDATE_STRUCTURE","True","True","True","True","True","BOUNDARY_CONFIRMED","NOT_STARTED","K2-DEC-01 unit-granularity decision (Bariah/CAIR)","False","False","BARIAH_CAIR","K2-DEC-01 unit granularity undecided (the 4.2F-E source-access blocker is resolved: binary local, readable, boundary confirmed)","Bariah/CAIR rule on unit granularity (K2-DEC-01); then confirm the two provisional models and extract the remaining rows"
"K2","PL02","K2-M01-PL02","CANDIDATE_STRUCTURE","True","True","True","True","True","BOUNDARY_CONFIRMED","NOT_STARTED","K2-DEC-01 unit-granularity decision (Bariah/CAIR)","False","False","BARIAH_CAIR","K2-DEC-01 unit granularity undecided (the 4.2F-E source-access blocker is resolved: binary local, readable, boundary confirmed)","Bariah/CAIR rule on unit granularity (K2-DEC-01); then confirm the two provisional models and extract the remaining rows"
"K2","PL03","K2-M01-PL03","CANDIDATE_STRUCTURE","True","True","True","True","True","BOUNDARY_CONFIRMED","NOT_STARTED","K2-DEC-01 unit-granularity decision (Bariah/CAIR)","False","False","BARIAH_CAIR","K2-DEC-01 unit granularity undecided (the 4.2F-E source-access blocker is resolved: binary local, readable, boundary confirmed)","Bariah/CAIR rule on unit granularity (K2-DEC-01); then confirm the two provisional models and extract the remaining rows"
"K2","PL04","K2-M01-PL04","CANDIDATE_STRUCTURE","True","True","True","True","True","BOUNDARY_CONFIRMED","NOT_STARTED","K2-DEC-01 unit-granularity decision (Bariah/CAIR)","False","False","BARIAH_CAIR","K2-DEC-01 unit granularity undecided (the 4.2F-E source-access blocker is resolved: binary local, readable, boundary confirmed)","Bariah/CAIR rule on unit granularity (K2-DEC-01); then confirm the two provisional models and extract the remaining rows"
"K2","PL05","K2-M02-PL05","CANDIDATE_STRUCTURE","True","True","True","True","True","BOUNDARY_CONFIRMED","NOT_STARTED","K2-DEC-01 unit-granularity decision (Bariah/CAIR)","False","False","BARIAH_CAIR","K2-DEC-01 unit granularity undecided (the 4.2F-E source-access blocker is resolved: binary local, readable, boundary confirmed)","Bariah/CAIR rule on unit granularity (K2-DEC-01); then confirm the two provisional models and extract the remaining rows"
"K2","PL06","K2-M03-PL06","CANDIDATE_STRUCTURE","True","True","True","True","True","BOUNDARY_CONFIRMED","NOT_STARTED","K2-SOURCE-OBS-03 (Firdaus) then K2-DEC-01 granularity (Bariah/CAIR)","False","False","FIRDAUS_THEN_BARIAH_CAIR","EXCEPTION K2-SOURCE-OBS-03: PL06's expected assessment mapping is missing or mislabelled — KT06, in PL06's slot, prints PL08's competency title; plus K2-DEC-01 unit granularity","resolve K2-SOURCE-OBS-03, then K2-DEC-01"
"K2","PL07","K2-M04-PL07","CANDIDATE_STRUCTURE","True","True","True","True","True","EXTRACTED","MODEL_READY","K2-DEC-01 unit-granularity decision (Bariah/CAIR)","False","False","BARIAH_CAIR","K2-DEC-01 unit granularity undecided (the 4.2F-E source-access blocker is resolved: binary local, readable, boundary confirmed)","Bariah/CAIR rule on unit granularity (K2-DEC-01); then confirm the two provisional models and extract the remaining rows"
"K2","PL08","K2-M05-PL08","CANDIDATE_STRUCTURE","True","True","True","True","True","BOUNDARY_CONFIRMED","NOT_STARTED","K2-SOURCE-OBS-03 (Firdaus) then K2-DEC-01 granularity (Bariah/CAIR)","False","False","FIRDAUS_THEN_BARIAH_CAIR","EXCEPTION K2-SOURCE-OBS-03: PL08 may carry a duplicated or misassigned assessment title — both KT06 and KT PL08 print it; plus K2-DEC-01 unit granularity","resolve K2-SOURCE-OBS-03, then K2-DEC-01"
"K2","PL09","K2-M06-PL09","CANDIDATE_STRUCTURE","True","True","True","True","True","EXTRACTED","MODEL_READY","K2-DEC-01 unit-granularity decision (Bariah/CAIR)","False","False","BARIAH_CAIR","K2-DEC-01 unit granularity undecided (the 4.2F-E source-access blocker is resolved: binary local, readable, boundary confirmed)","Bariah/CAIR rule on unit granularity (K2-DEC-01); then confirm the two provisional models and extract the remaining rows"
