visual_obligation_id,bariah_ruling_locator,source_row_ids,raw_source_heading,governed_display_heading,learner_facing_subject,visual_purpose,proposed_visual_class,existing_source_asset_available,source_asset_id,production_requirement,source_authority,treatment_authority,subject_authority,mmd_dependency,approval_status,unresolved_issue
T04-VO-011,BR-L4,T04-ROW-011;T04-ROW-012;T04-ROW-013;T04-ROW-014;T04-ROW-015,Sistem Pengairan Automatik,Sistem Pengairan Automatik,Sprinkler system beside drip irrigation — broad turf coverage against emitters at individual root zones,Carry the distinction the source draws between the two automatic systems.,COMPARISON_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"The two systems are LIST_ITEM rows (T04-ROW-012 and T04-ROW-014), not headings. They are bound to this obligation rather than given obligations of their own."
T04-VO-012,BR-L4,T04-ROW-016,Aspek Pengurusan untuk Kontraktor:,Aspek Pengurusan untuk Kontraktor,PENDING — this heading groups four unrelated management topics and has no subject of its own in the source,PENDING — whether a grouping heading earns its own visual is Bariah's call.,PENDING_HUMAN,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Grouping heading with no body text. A visual here would have to be invented.
T04-VO-013,BR-L4,T04-ROW-017;T04-ROW-018;T04-ROW-019,Jadual Penyiraman,Jadual Penyiraman,"A watering schedule showing early-morning and late-afternoon slots, with midday excluded",Make the timing rule the source gives readable at a glance.,CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-014,BR-L4,T04-ROW-020;T04-ROW-021,Pengurusan Sumber Air,Pengurusan Sumber Air,"Water supply and pressure across a site — source, delivery and the pump and timer the contractor maintains","Show that water management is a site-wide system, not a tap.",CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-015,BR-L4,T04-ROW-022;T04-ROW-023,Pemantauan & Pelaporan,Pemantauan & Pelaporan,The signs the source names — wilted dry leaves for under-watering against yellowed leaves and root rot for over-watering,"Both failure directions must be distinguishable, which is what the source teaches.",COMPARISON_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-016,BR-L4,T04-ROW-024;T04-ROW-025,Kecekapan Kos,Kecekapan Kos,Water cost against watering method on a large project,Attach the cost point to something measurable.,CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-017,BR-L3,T04-ROW-026;T04-ROW-027,Baja,Baja,Fertiliser being applied to supply nutrients to plants,Give the operation a concrete image before its methods are broken down.,EQUIPMENT_OR_ACTIVITY_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-018,BR-L4,T04-ROW-028,Kaedah Pelaksanaan,Kaedah Pelaksanaan,"The three application methods the source names, side by side",Frame the methods as a set before each is described.,COMPARISON_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-019,BR-L4,T04-ROW-029;T04-ROW-030,Pembajaan Tabur (Broadcasting),Pembajaan Tabur (Broadcasting),Granular fertiliser spread evenly around the root zone or across turf,Show the spreading action that defines broadcasting.,PROCEDURAL_ILLUSTRATION,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-020,BR-L4,T04-ROW-031;T04-ROW-032,Pembajaan Poket (Pocketing),Pembajaan Poket (Pocketing),"Small holes dug around a tree's root zone, fertiliser placed in and covered back",Show the three-step action the source describes.,PROCEDURAL_ILLUSTRATION,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-021,BR-L4,T04-ROW-033;T04-ROW-034,Semburan Folia (Foliar Spray),Semburan Folia (Foliar Spray),Liquid fertiliser sprayed directly onto foliage,Distinguish leaf application from soil application.,PROCEDURAL_ILLUSTRATION,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-022,BR-L4,T04-ROW-035,Aspek Pengurusan untuk Kontraktor,Aspek Pengurusan untuk Kontraktor,PENDING — grouping heading with no subject of its own,PENDING — Bariah's call.,PENDING_HUMAN,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Grouping heading with no body text.
T04-VO-023,BR-L4,T04-ROW-036;T04-ROW-037,Program Pembajaan,Program Pembajaan,"A fertilising programme sheet showing fertiliser type, NPK rate, quantity and schedule","Show the programme as a document with named fields, as the source describes it.",CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-024,BR-L4,T04-ROW-038;T04-ROW-039,Pematuhan Spesifikasi,Pematuhan Spesifikasi,Fertiliser checked against the contract specification and the S.O.'s approval,"Make the approval step visible as a gate, not a formality.",SAFETY_OR_COMPLIANCE_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-025,BR-L4,T04-ROW-040;T04-ROW-041,Pengurusan Stok dan Penyimpanan,Pengurusan Stok dan Penyimpanan,"Fertiliser stored dry, secured and away from any water source",The three storage conditions the source names must be readable in one image.,SAFETY_OR_COMPLIANCE_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-026,BR-L4,T04-ROW-042;T04-ROW-043,Keselamatan Pekerja,Keselamatan Pekerja,A worker handling chemical fertiliser wearing gloves and a face mask,Show the PPE the source names for this specific task.,SAFETY_OR_COMPLIANCE_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-027,BR-L4,T04-ROW-044;T04-ROW-045,Dokumentasi,Dokumentasi,"A fertilising record showing date, fertiliser type, quantity and area treated","Show the record as evidence for a payment claim, which is the reason the source gives.",CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-028,BR-L3,T04-ROW-046;T04-ROW-047,Racun,Racun,"The three threats the source names — insect pests, fungal disease and weeds","Establish that pest control covers three different problems, not one.",CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-029,BR-L4,T04-ROW-048,IPM memberi keutamaan kepada:,IPM memberi keutamaan kepada,"The IPM priority order — cultural, physical and biological control ahead of chemical",The ORDER is the teaching point; a flat list would lose it.,CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-030,BR-L4,T04-ROW-049;T04-ROW-050,Kawalan Kultur,Kawalan Kultur,Good maintenance practice as prevention — correct watering and balanced fertilising,Connect cultural control back to the two operations already taught.,PROCEDURAL_ILLUSTRATION,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-031,BR-L4,T04-ROW-051;T04-ROW-052,Kawalan Fizikal,Kawalan Fizikal,Diseased plant material removed by hand and weeds pulled out,Show physical control as manual work.,PROCEDURAL_ILLUSTRATION,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-032,BR-L4,T04-ROW-053;T04-ROW-054,Kawalan Biologi,Kawalan Biologi,A pest's natural enemy used against it,Biological control has no obvious image; a relationship diagram carries it.,CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-033,BR-L4,T04-ROW-055;T04-ROW-056,Kawalan Kimia,Kawalan Kimia,"Controlled, targeted pesticide application rather than blanket spraying",The words the source stresses are 'terkawal' and 'bersasar'.,PROCEDURAL_ILLUSTRATION,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-034,BR-L4,T04-ROW-057,Jenis Racun,Jenis Racun,"The three pesticide types the source names, side by side with their targets","Type and target must be paired, which is exactly what the three rows state.",COMPARISON_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-035,BR-L4,T04-ROW-058;T04-ROW-059,Racun Serangga (Insecticide),Racun Serangga (Insecticide),Insecticide and the insect pests it controls,Bind the type to its target.,EQUIPMENT_OR_ACTIVITY_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-036,BR-L4,T04-ROW-060;T04-ROW-061,Racun Kulat (Fungicide),Racun Kulat (Fungicide),Fungicide and the fungal disease it controls,Bind the type to its target.,EQUIPMENT_OR_ACTIVITY_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-037,BR-L4,T04-ROW-062;T04-ROW-063,Racun Rumpai (Herbicide),Racun Rumpai (Herbicide),Herbicide and the weed growth it controls,Bind the type to its target.,EQUIPMENT_OR_ACTIVITY_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-038,BR-L4,T04-ROW-064,Aspek Pengurusan untuk Kontraktor:,Aspek Pengurusan untuk Kontraktor,PENDING — grouping heading with no subject of its own,PENDING — Bariah's call.,PENDING_HUMAN,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Grouping heading with no body text.
T04-VO-039,BR-L4,T04-ROW-065;T04-ROW-066;T04-ROW-067,Perundangan dan Pelesenan,Perundangan dan Pelesenan,"Pesticide use under statutory control, and a licensed operator's credential",This is the unit's highest-consequence content and carries D-04.,SAFETY_OR_COMPLIANCE_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,D-04 — the base/reveal split for this row group is not confirmed.
T04-VO-040,BR-L4,T04-ROW-068;T04-ROW-069;T04-ROW-070;T04-ROW-071;T04-ROW-072;T04-ROW-073;T04-ROW-074,Keselamatan dan Kesihatan (HSE),Keselamatan dan Kesihatan (HSE),"Full PPE for pesticide work — respirator, safety goggles, chemical gloves and protective suit; locked labelled ventilated store; Safety Data Sheet on file",The three HSE obligations the source groups here must all be visible.,SAFETY_OR_COMPLIANCE_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,D-04 — the base/reveal split for this row group is not confirmed.
T04-VO-041,BR-L4,T04-ROW-075;T04-ROW-076;T04-ROW-077;T04-ROW-078,Pengurusan Risiko,Pengurusan Risiko,"Calm-weather spraying with no drift, warning signage posted, and a spray record","Risk management is three separate obligations, not one.",SAFETY_OR_COMPLIANCE_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,D-04 — the base/reveal split for this row group is not confirmed.
T04-VO-042,BR-L5,T04-ROW-079;T04-ROW-080,Landskap Kejur,Landskap Kejur,"The permanent built elements the source names as hard landscape, shown as one category against the soft-landscape category",Establish the second half of the unit and its contrast with the first.,CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-043,BR-L6,T04-ROW-081;T04-ROW-082;T04-ROW-083;T04-ROW-084;T04-ROW-085,Pengurusan Ruang dan Sirkulasi,Pengurusan Ruang dan Sirkulasi,"Walls, fences and level changes dividing outdoor space into distinct areas, with pathways, driveways and steps as movement routes",Space-making and circulation are one function group in the source.,CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-044,BR-L6,T04-ROW-086;T04-ROW-087;T04-ROW-088;T04-ROW-089;T04-ROW-090,Fungsi Struktur dan Kejuruteraan,Fungsi Struktur dan Kejuruteraan,"A retaining wall holding a slope, with drains and graded surfaces carrying run-off",Both engineering roles the source names belong in one image.,CONCEPTUAL_DIAGRAM,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-045,BR-L6,T04-ROW-091;T04-ROW-092;T04-ROW-093;T04-ROW-094;T04-ROW-095,Kebolehgunaan dan Kemudahan,Kebolehgunaan dan Kemudahan,"Patios, decks and plazas in use, with gazebos, benches and landscape lighting","Usability is shown by people using the space, which the source implies.",EQUIPMENT_OR_ACTIVITY_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
T04-VO-046,BR-L6,T04-ROW-096;T04-ROW-097;T04-ROW-098;T04-ROW-099;T04-ROW-100,Estetika dan Reka Bentuk,Estetika dan Reka Bentuk,"Stone, timber and concrete adding texture, colour and pattern, and the contrast hard elements make against planting","The source's own point is contrast, which needs two things in one frame.",COMPARISON_VISUAL,NONE_IN_SOURCE,,NEW_MMD_ASSET_REQUIRED,MODULE_SOURCE_ATTESTED,BARIAH_DIRECT_SCREENSHOT,MODULE_SOURCE_ATTESTED,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,
