obligation_id,source_row_ids,source_heading,visual_subject,requirement_authority,population_derivation_authority,subject_authority,closure_outcome,proposed_learner_screen_id,proposed_runtime_state_id,proposed_asset_group_id,unique_asset_candidate_id,composite_or_individual,reuse_policy,screens_or_states_served,visual_class,complexity_tier,production_complexity,mmd_dependency,approval_status,rationale
T04-VO-011,T04-ROW-011;T04-ROW-012;T04-ROW-013;T04-ROW-014;T04-ROW-015,Sistem Pengairan Automatik,Sprinkler system beside drip irrigation — broad turf coverage against emitters at individual root zones,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S06,ST-02,AG-03,UA-03-03,COMPOSITE,NOT_YET_ASSESSED,T04-S06/ST-02,COMPARISON_VISUAL,COMPARISON_VISUAL,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"Sprinkler against drip in one frame. The two systems are LIST_ITEM rows, not headings, so they were never separate obligations; they are the two halves of this one."
T04-VO-012,T04-ROW-016,Aspek Pengurusan untuk Kontraktor,PENDING — this heading groups four unrelated management topics and has no subject of its own in the source,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,NOT_A_SEPARATE_ASSET_WITH_REASON,,,AG-03,,NOT_APPLICABLE,NOT_YET_ASSESSED,none — see rationale,PENDING_HUMAN,SIMPLE_ICONIC,NONE,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,A grouping heading with no body text of its own. Its four management topics each carry their own obligation and their own visual; a separate visual for the header would have to invent a subject the source does not supply. Class is PENDING_HUMAN precisely because no subject can be derived.
T04-VO-013,T04-ROW-017;T04-ROW-018;T04-ROW-019,Jadual Penyiraman,"A watering schedule showing early-morning and late-afternoon slots, with midday excluded",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S07,ST-01,AG-03,UA-03-04,INDIVIDUAL,NOT_YET_ASSESSED,T04-S07/ST-01,CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Watering schedule with early-morning and late-afternoon slots.
T04-VO-014,T04-ROW-020;T04-ROW-021,Pengurusan Sumber Air,"Water supply and pressure across a site — source, delivery and the pump and timer the contractor maintains",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S07,ST-02,AG-03,UA-03-05,INDIVIDUAL,NOT_YET_ASSESSED,T04-S07/ST-02,CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"Site-wide water supply, pressure, pump and timer."
T04-VO-015,T04-ROW-022;T04-ROW-023,Pemantauan & Pelaporan,The signs the source names — wilted dry leaves for under-watering against yellowed leaves and root rot for over-watering,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S07,ST-03,AG-03,UA-03-06,COMPOSITE,NOT_YET_ASSESSED,T04-S07/ST-03,COMPARISON_VISUAL,COMPARISON_VISUAL,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Under-watering against over-watering; both failure directions must be in one frame or the teaching point is lost.
T04-VO-016,T04-ROW-024;T04-ROW-025,Kecekapan Kos,Water cost against watering method on a large project,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S07,ST-04,AG-03,UA-03-07,INDIVIDUAL,NOT_YET_ASSESSED,T04-S07/ST-04,CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Water cost against watering method.
T04-VO-017,T04-ROW-026;T04-ROW-027,Baja,Fertiliser being applied to supply nutrients to plants,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S08,,AG-04,UA-04-01,INDIVIDUAL,NOT_YET_ASSESSED,T04-S08 (base),EQUIPMENT_OR_ACTIVITY_VISUAL,PROCEDURAL_ILLUSTRATION,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Main explanation visual for the operation.
T04-VO-018,T04-ROW-028,Kaedah Pelaksanaan,"The three application methods the source names, side by side",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,COVERED_BY_COMPOSITE_ASSET_GROUP,T04-S09,,AG-04,,COMPOSITE,NOT_YET_ASSESSED,T04-S09 (base),COMPARISON_VISUAL,COMPARISON_VISUAL,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,As T04-VO-009 — the composite is the three method visuals shown together and consumes no additional asset.
T04-VO-019,T04-ROW-029;T04-ROW-030,Pembajaan Tabur (Broadcasting),Granular fertiliser spread evenly around the root zone or across turf,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S09,ST-01,AG-04,UA-04-02,INDIVIDUAL,NOT_YET_ASSESSED,T04-S09/ST-01,PROCEDURAL_ILLUSTRATION,PROCEDURAL_ILLUSTRATION,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Granular fertiliser spread evenly — the broadcasting action.
T04-VO-020,T04-ROW-031;T04-ROW-032,Pembajaan Poket (Pocketing),"Small holes dug around a tree's root zone, fertiliser placed in and covered back",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S09,ST-02,AG-04,UA-04-03,INDIVIDUAL,NOT_YET_ASSESSED,T04-S09/ST-02,PROCEDURAL_ILLUSTRATION,PROCEDURAL_ILLUSTRATION,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"Dig, place, cover — a three-step action needing sequence in one frame."
T04-VO-021,T04-ROW-033;T04-ROW-034,Semburan Folia (Foliar Spray),Liquid fertiliser sprayed directly onto foliage,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S09,ST-03,AG-04,UA-04-04,INDIVIDUAL,NOT_YET_ASSESSED,T04-S09/ST-03,PROCEDURAL_ILLUSTRATION,PROCEDURAL_ILLUSTRATION,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Liquid fertiliser onto foliage — distinguishes leaf from soil application.
T04-VO-022,T04-ROW-035,Aspek Pengurusan untuk Kontraktor,PENDING — grouping heading with no subject of its own,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,NOT_A_SEPARATE_ASSET_WITH_REASON,,,AG-04,,NOT_APPLICABLE,NOT_YET_ASSESSED,none — see rationale,PENDING_HUMAN,SIMPLE_ICONIC,NONE,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,A grouping heading with no body text of its own. Its four management topics each carry their own obligation and their own visual; a separate visual for the header would have to invent a subject the source does not supply. Class is PENDING_HUMAN precisely because no subject can be derived.
T04-VO-023,T04-ROW-036;T04-ROW-037,Program Pembajaan,"A fertilising programme sheet showing fertiliser type, NPK rate, quantity and schedule",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S10,ST-01,AG-04,UA-04-05,INDIVIDUAL,NOT_YET_ASSESSED,T04-S10/ST-01,CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"Programme sheet with the fields the source names — type, NPK, quantity, schedule."
T04-VO-024,T04-ROW-038;T04-ROW-039,Pematuhan Spesifikasi,Fertiliser checked against the contract specification and the S.O.'s approval,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S10,ST-02,AG-04,UA-04-06,INDIVIDUAL,NOT_YET_ASSESSED,T04-S10/ST-02,SAFETY_OR_COMPLIANCE_VISUAL,SAFETY_COMPLIANCE_VISUAL,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Specification check and S.O. approval shown as a gate.
T04-VO-025,T04-ROW-040;T04-ROW-041,Pengurusan Stok dan Penyimpanan,"Fertiliser stored dry, secured and away from any water source",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S10,ST-03,AG-04,UA-04-07,INDIVIDUAL,DO_NOT_REUSE,T04-S10/ST-03,SAFETY_OR_COMPLIANCE_VISUAL,SAFETY_COMPLIANCE_VISUAL,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"Dry, secure, away from water. Deliberately NOT reused for pesticide storage, which is locked, labelled and ventilated."
T04-VO-026,T04-ROW-042;T04-ROW-043,Keselamatan Pekerja,A worker handling chemical fertiliser wearing gloves and a face mask,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S10,ST-04,AG-04,UA-04-08,INDIVIDUAL,DO_NOT_REUSE,T04-S10/ST-04,SAFETY_OR_COMPLIANCE_VISUAL,SAFETY_COMPLIANCE_VISUAL,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"Gloves and face mask for chemical fertiliser. Deliberately NOT reused for pesticide PPE, which is a materially heavier set."
T04-VO-027,T04-ROW-044;T04-ROW-045,Dokumentasi,"A fertilising record showing date, fertiliser type, quantity and area treated",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S10,ST-05,AG-04,UA-04-09,INDIVIDUAL,NOT_YET_ASSESSED,T04-S10/ST-05,CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"The record as evidence for a payment claim, which is the reason the source gives."
T04-VO-028,T04-ROW-046;T04-ROW-047,Racun,"The three threats the source names — insect pests, fungal disease and weeds",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S11,,AG-05,UA-05-01,INDIVIDUAL,NOT_YET_ASSESSED,T04-S11 (base),CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"The three threats — insect pests, fungal disease, weeds."
T04-VO-029,T04-ROW-048,IPM memberi keutamaan kepada,"The IPM priority order — cultural, physical and biological control ahead of chemical",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S12,,AG-05,UA-05-02,COMPOSITE,NOT_YET_ASSESSED,T04-S12 (base),CONCEPTUAL_DIAGRAM,COMPOSITE_PROCESS_DIAGRAM,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"The IPM priority ORDER is the teaching point, so it is the screen's persistent main visual rather than a reveal."
T04-VO-030,T04-ROW-049;T04-ROW-050,Kawalan Kultur,Good maintenance practice as prevention — correct watering and balanced fertilising,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S12,ST-01,AG-05,UA-05-03,INDIVIDUAL,NOT_YET_ASSESSED,T04-S12/ST-01,PROCEDURAL_ILLUSTRATION,PROCEDURAL_ILLUSTRATION,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Prevention through correct watering and balanced fertilising — connects back to the two operations already taught.
T04-VO-031,T04-ROW-051;T04-ROW-052,Kawalan Fizikal,Diseased plant material removed by hand and weeds pulled out,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S12,ST-02,AG-05,UA-05-04,INDIVIDUAL,NOT_YET_ASSESSED,T04-S12/ST-02,PROCEDURAL_ILLUSTRATION,PROCEDURAL_ILLUSTRATION,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Manual removal and weeding.
T04-VO-032,T04-ROW-053;T04-ROW-054,Kawalan Biologi,A pest's natural enemy used against it,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S12,ST-03,AG-05,UA-05-05,INDIVIDUAL,NOT_YET_ASSESSED,T04-S12/ST-03,CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"A pest's natural enemy — no obvious photograph, so a relationship diagram."
T04-VO-033,T04-ROW-055;T04-ROW-056,Kawalan Kimia,"Controlled, targeted pesticide application rather than blanket spraying",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S12,ST-04,AG-05,UA-05-06,INDIVIDUAL,NOT_YET_ASSESSED,T04-S12/ST-04,PROCEDURAL_ILLUSTRATION,PROCEDURAL_ILLUSTRATION,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"Controlled and targeted application, not blanket spraying."
T04-VO-034,T04-ROW-057,Jenis Racun,"The three pesticide types the source names, side by side with their targets",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S13,,AG-05,UA-05-07,COMPOSITE,NOT_YET_ASSESSED,T04-S13 (base),COMPARISON_VISUAL,COMPARISON_VISUAL,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Type paired with target for all three. This is the screen's main visual.
T04-VO-035,T04-ROW-058;T04-ROW-059,Racun Serangga (Insecticide),Insecticide and the insect pests it controls,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,COVERED_BY_COMPOSITE_ASSET_GROUP,T04-S13,,AG-05,,COMPOSITE,NOT_YET_ASSESSED,T04-S13 (base),EQUIPMENT_OR_ACTIVITY_VISUAL,COMPARISON_VISUAL,NONE,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Insecticide and its target are one labelled panel inside T04-VO-034's comparison. Splitting the three apart would destroy the pairing the source teaches. The obligation is discharged by that panel.
T04-VO-036,T04-ROW-060;T04-ROW-061,Racun Kulat (Fungicide),Fungicide and the fungal disease it controls,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,COVERED_BY_COMPOSITE_ASSET_GROUP,T04-S13,,AG-05,,COMPOSITE,NOT_YET_ASSESSED,T04-S13 (base),EQUIPMENT_OR_ACTIVITY_VISUAL,COMPARISON_VISUAL,NONE,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,As T04-VO-035 — fungicide panel.
T04-VO-037,T04-ROW-062;T04-ROW-063,Racun Rumpai (Herbicide),Herbicide and the weed growth it controls,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,COVERED_BY_COMPOSITE_ASSET_GROUP,T04-S13,,AG-05,,COMPOSITE,NOT_YET_ASSESSED,T04-S13 (base),EQUIPMENT_OR_ACTIVITY_VISUAL,COMPARISON_VISUAL,NONE,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,As T04-VO-035 — herbicide panel.
T04-VO-038,T04-ROW-064,Aspek Pengurusan untuk Kontraktor,PENDING — grouping heading with no subject of its own,BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,NOT_A_SEPARATE_ASSET_WITH_REASON,,,AG-06,,NOT_APPLICABLE,NOT_YET_ASSESSED,none — see rationale,PENDING_HUMAN,SIMPLE_ICONIC,NONE,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,A grouping heading with no body text of its own. Its four management topics each carry their own obligation and their own visual; a separate visual for the header would have to invent a subject the source does not supply. Class is PENDING_HUMAN precisely because no subject can be derived.
T04-VO-039,T04-ROW-065;T04-ROW-066;T04-ROW-067,Perundangan dan Pelesenan,"Pesticide use under statutory control, and a licensed operator's credential",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S14,,AG-06,UA-06-01,INDIVIDUAL,NOT_YET_ASSESSED,T04-S14 (base),SAFETY_OR_COMPLIANCE_VISUAL,SAFETY_COMPLIANCE_VISUAL,HIGH,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Statutory control and a licensed operator's credential. The unit's highest-consequence visual; accuracy matters more than style here.
T04-VO-040,T04-ROW-068;T04-ROW-069;T04-ROW-070;T04-ROW-071;T04-ROW-072;T04-ROW-073;T04-ROW-074,Keselamatan dan Kesihatan (HSE),"Full PPE for pesticide work — respirator, safety goggles, chemical gloves and protective suit; locked labelled ventilated store; Safety Data Sheet on file",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S15,,AG-06,UA-06-02,COMPOSITE,DO_NOT_REUSE,T04-S15 (base),SAFETY_OR_COMPLIANCE_VISUAL,SAFETY_COMPLIANCE_VISUAL,HIGH,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Full pesticide PPE. Base-visible under D-04 and may not be moved behind a reveal.
T04-VO-041,T04-ROW-075;T04-ROW-076;T04-ROW-077;T04-ROW-078,Pengurusan Risiko,"Calm-weather spraying with no drift, warning signage posted, and a spray record",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S16,,AG-06,UA-06-03,COMPOSITE,NOT_YET_ASSESSED,T04-S16 (base),SAFETY_OR_COMPLIANCE_VISUAL,SAFETY_COMPLIANCE_VISUAL,HIGH,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,"Calm-weather spraying, signage and the spray record — three separate obligations in one frame."
T04-VO-042,T04-ROW-079;T04-ROW-080,Landskap Kejur,"The permanent built elements the source names as hard landscape, shown as one category against the soft-landscape category",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_LEARNER_SCREEN,T04-S17,,AG-07,UA-07-01,INDIVIDUAL,NOT_YET_ASSESSED,T04-S17 (base),CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,LOW,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,The category and its contrast with soft landscape.
T04-VO-043,T04-ROW-081;T04-ROW-082;T04-ROW-083;T04-ROW-084;T04-ROW-085,Pengurusan Ruang dan Sirkulasi,"Walls, fences and level changes dividing outdoor space into distinct areas, with pathways, driveways and steps as movement routes",BARIAH_DIRECT_SCREENSHOT,MODULE_HEADING_HIERARCHY,MODULE_SOURCE_ATTESTED,MAPPED_TO_RUNTIME_STATE,T04-S18,ST-01,AG-07,UA-07-02,COMPOSITE,NOT_YET_ASSESSED,T04-S18/ST-01,CONCEPTUAL_DIAGRAM,SIMPLE_DIAGRAM,MEDIUM,MMD_ASSET_PRODUCTION_NOT_STARTED,PENDING_BARIAH_REVIEW,Space-making and circulation are one function group in the source.
